date,cu_usd_per_tonne,al_usd_per_tonne,eur_usd_rate,cu_eur_per_tonne,al_eur_per_tonne
2023-07-03,8355.0,2107.0,1.0899,7665.840902835122,1933.2048811817597
2023-07-04,8349.0,2102.5,1.0895,7663.148233134466,1929.7843047269391
2023-07-05,8251.0,2093.0,1.0879,7584.336795661366,1923.890063424947
2023-07-06,8280.0,2103.5,1.0899,7597.02725020644,1929.9935773924212
2023-07-07,8299.0,2086.0,1.0888,7622.152828802351,1915.8706833210874
2023-07-10,8286.0,2096.0,1.0956,7562.979189485214,1913.1069733479374
2023-07-11,8371.0,2129.0,1.0989,7617.617617617618,1937.3919373919375
2023-07-12,8367.0,2147.5,1.1022,7591.181273816004,1948.375975322083
2023-07-13,8585.0,2236.0,1.1182,7677.517438740833,1999.642282239313
2023-07-14,8651.0,2225.0,1.1221,7709.651546208002,1982.889225559219
2023-07-17,8460.5,2195.0,1.123,7533.837934105076,1954.585930543188
2023-07-18,8410.0,2169.5,1.1255,7472.234562416704,1927.5877387827634
2023-07-19,8354.0,2142.0,1.1222,7444.305827838174,1908.7506683300658
2023-07-20,8543.0,2172.0,1.1197,7629.722247030455,1939.8053049924088
2023-07-21,8422.0,2153.5,1.1123,7571.698282837364,1936.0783961161555
2023-07-24,8430.0,2155.0,1.1096,7597.332372025956,1942.1413121845712
2023-07-25,8597.0,2184.0,1.1051,7779.386480861461,1976.2917383042259
2023-07-26,8534.0,2170.5,1.1059,7716.791753323085,1962.6548512523734
2023-07-27,8578.5,2176.0,1.1125,7711.011235955056,1955.9550561797753
2023-07-28,8592.0,2161.5,1.101,7803.814713896458,1963.215258855586
2023-07-31,8635.5,2195.5,1.1023,7834.074208473192,1991.744534155856
2023-08-01,8720.5,2217.0,1.097,7949.407474931632,2020.9662716499545
2023-08-02,8545.0,2176.5,1.0985,7778.789258079199,1981.3381884387802
2023-08-03,8472.0,2147.0,1.0932,7749.725576289792,1963.959019392609
2023-08-04,8450.5,2166.0,1.0946,7720.1717522382605,1978.8050429380596
2023-08-07,8495.0,2178.0,1.0984,7733.976693372178,1982.8841951930078
2023-08-08,8276.0,2143.0,1.0944,7562.1345029239765,1958.1505847953215
2023-08-09,8395.0,2153.0,1.0968,7654.084609773888,1962.983223924143
2023-08-10,8423.5,2161.5,1.1019,7644.523096469733,1961.6117615028586
2023-08-11,8242.0,2127.0,1.1004,7490.003635041802,1932.9334787350053
2023-08-14,8242.0,2096.0,1.093,7540.713632204941,1917.657822506862
2023-08-15,8126.5,2085.5,1.0926,7437.763133809262,1908.7497711879919
2023-08-16,8132.0,2089.0,1.0916,7449.615243679004,1913.7046537193112
2023-08-17,8215.0,2131.0,1.09,7536.697247706422,1955.0458715596328
2023-08-18,8176.0,2096.0,1.0867,7523.69559215975,1928.775190945063
2023-08-21,8239.5,2068.5,1.0908,7553.630363036304,1896.3146314631463
2023-08-22,8342.0,2121.5,1.0887,7662.349591255626,1948.6543584091119
2023-08-23,8377.5,2129.0,1.0805,7753.354928273947,1970.384081443776
2023-08-24,8358.5,2119.5,1.084,7710.793357933579,1955.2583025830256
2023-08-25,8381.5,2124.0,1.0808,7754.903774981495,1965.2109548482606
2023-08-29,8375.0,2116.5,1.0803,7752.4761640285105,1959.178006109414
2023-08-30,8394.5,2140.5,1.0886,7711.2805438177475,1966.286974095168
2023-08-31,8359.5,2165.5,1.0868,7691.847626058153,1992.546926757453
2023-09-01,8515.0,2184.0,1.0844,7852.268535595721,2014.0169679085209
2023-09-04,8406.0,2149.5,1.0801,7782.612721044347,1990.093509860198
2023-09-05,8430.0,2136.5,1.0731,7855.745037741124,1990.9607678687914
2023-09-06,8395.0,2158.0,1.0745,7812.936249418334,2008.3759888320149
2023-09-07,8242.5,2135.0,1.071,7696.078431372549,1993.4640522875818
2023-09-08,8225.0,2132.5,1.0704,7684.043348281017,1992.2458893871449
2023-09-11,8332.5,2154.0,1.0724,7769.955240581872,2008.5788884744497
2023-09-12,8337.5,2153.0,1.0713,7782.6005787361155,2009.7078316064596
2023-09-13,8353.0,2156.5,1.0733,7782.539830429517,2009.2238889406506
2023-09-14,8423.0,2192.5,1.073,7849.95340167754,2043.336439888164
2023-09-15,8376.5,2155.5,1.0658,7859.354475511353,2022.4244698817788
2023-09-18,8320.0,2165.0,1.0663,7802.682171996624,2030.3854449967175
2023-09-19,8233.5,2174.5,1.0713,7685.522262671521,2029.776906562121
2023-09-20,8277.0,2202.0,1.0702,7734.0683984301995,2057.5593347037934
2023-09-21,8101.0,2166.5,1.0635,7617.301363422662,2037.1415138692996
2023-09-22,8188.0,2199.5,1.0647,7690.429228890767,2065.84014276322
2023-09-25,8107.0,2182.5,1.0633,7624.3769397159795,2052.5721809461115
2023-09-26,8066.0,2195.0,1.0605,7605.846298915606,2069.7784064120697
2023-09-27,8017.0,2196.0,1.0536,7609.149582384206,2084.282460136674
2023-09-28,8112.0,2232.0,1.0539,7697.124964417876,2117.8479931682323
2023-09-29,8230.5,2307.5,1.0594,7769.020200113272,2178.1196903907876
2023-10-02,8100.5,2286.5,1.053,7692.78252611586,2171.415004748338
2023-10-03,7960.0,2257.0,1.0469,7603.400515808578,2155.8888145954725
2023-10-04,7910.5,2231.0,1.0497,7535.962655996951,2125.3691530913593
2023-10-05,7812.5,2195.5,1.0526,7422.097662929888,2085.787573627209
2023-10-06,7887.0,2208.0,1.0563,7466.628798636751,2090.3152513490486
2023-10-09,8015.5,2193.0,1.0531,7611.337954610199,2082.4233216218786
2023-10-10,7907.5,2199.0,1.0582,7472.594972594972,2078.057078057078
2023-10-11,7943.5,2179.0,1.0604,7491.041116559789,2054.8849490758203
2023-10-12,7995.0,2180.5,1.0619,7528.957528957529,2053.3948582729067
2023-10-13,7891.0,2176.0,1.0524,7498.09958190802,2067.6548840744963
2023-10-16,7920.0,2161.5,1.0538,7515.657620041753,2051.1482254697285
2023-10-17,7846.5,2148.5,1.0569,7424.0703945501,2032.8318667802064
2023-10-18,7947.5,2176.5,1.0565,7522.479886417416,2060.1041173686704
2023-10-19,7938.0,2150.5,1.0558,7518.4694070846745,2036.8440992612236
2023-10-20,7876.0,2152.0,1.0591,7436.502690964026,2031.9138891511661
2023-10-23,7824.5,2144.5,1.0597,7383.693498159856,2023.685948853449
2023-10-24,7900.5,2146.5,1.0632,7430.8690744921,2018.9051918735893
2023-10-25,7946.0,2188.5,1.0576,7513.237518910741,2069.307866868381
2023-10-26,7939.0,2202.5,1.054,7532.258064516129,2089.6584440227703
2023-10-27,7963.5,2170.5,1.0541,7554.786073427568,2059.1025519400437
2023-10-30,8110.0,2252.0,1.0605,7647.3361621876475,2123.5266383781236
2023-10-31,8038.0,2235.0,1.0619,7569.45098408513,2104.7179583764946
2023-11-01,8041.0,2230.5,1.0537,7631.204327607478,2116.8264211824994
2023-11-02,8066.0,2218.0,1.0661,7565.894381390113,2080.4802551355406
2023-11-03,8070.5,2219.5,1.0702,7541.113810502709,2073.911418426462
2023-11-06,8136.5,2254.0,1.0741,7575.179219811936,2098.5010706638113
2023-11-07,8068.0,2241.0,1.0686,7550.065506269886,2097.1364402021336
2023-11-08,8088.0,2258.5,1.0671,7579.420860275513,2116.483928404086
2023-11-09,8030.5,2228.0,1.0691,7511.458235899355,2083.9958843887384
2023-11-10,8006.0,2205.5,1.0683,7494.149583450341,2064.4949920434333
2023-11-13,8014.5,2220.5,1.067,7511.24648547329,2081.0684161199624
2023-11-14,8081.0,2194.0,1.0724,7535.434539350988,2045.8784035807535
2023-11-15,8169.0,2205.0,1.0868,7516.562384983437,2028.892160471108
2023-11-16,8165.5,2182.5,1.0849,7526.500138261591,2011.7061480320767
2023-11-17,8141.0,2165.0,1.0872,7488.04267844003,1991.3539367181752
2023-11-20,8247.0,2192.0,1.0928,7546.669106881405,2005.856515373353
2023-11-21,8324.0,2201.5,1.0955,7598.356914650845,2009.5846645367415
2023-11-22,8296.0,2194.5,1.0911,7603.336082852168,2011.2730272202366
2023-11-23,8307.5,2183.0,1.09,7621.559633027522,2002.7522935779816
2023-11-24,8300.0,2179.0,1.0916,7603.517772077685,1996.152436790033
2023-11-27,8281.0,2177.0,1.0951,7561.866496210392,1987.9463062733998
2023-11-28,8278.0,2164.5,1.0949,7560.507808932322,1976.8928669284867
2023-11-29,8384.0,2178.0,1.0985,7632.225762403277,1982.7036868456987
2023-11-30,8332.0,2157.5,1.0931,7622.358430152777,1973.7443966700212
2023-12-01,8456.0,2147.5,1.0875,7775.6321839080465,1974.7126436781612
2023-12-04,8417.0,2148.5,1.0868,7744.755244755245,1976.9046742730955
2023-12-05,8259.0,2121.5,1.0817,7635.20384579828,1961.2646759730053
2023-12-06,8297.0,2117.5,1.0778,7698.088699202078,1964.6502133976617
2023-12-07,8221.0,2099.0,1.0771,7632.531798347415,1948.7512765759911
2023-12-08,8348.0,2111.0,1.0777,7746.126009093439,1958.8011505984966
2023-12-11,8275.5,2082.5,1.0757,7693.130054848005,1935.9486845774843
2023-12-12,8272.0,2090.5,1.0804,7656.423546834506,1934.931506849315
2023-12-13,8205.0,2083.0,1.0787,7606.378047649949,1931.0280893668305
2023-12-14,8461.5,2137.0,1.0919,7749.33601978203,1957.1389321366423
2023-12-15,8471.0,2196.0,1.0946,7738.900054814544,2006.2123150009136
2023-12-18,8423.0,2213.0,1.0918,7714.782927276057,2026.928008792819
2023-12-19,8439.0,2215.5,1.0962,7698.412698412698,2021.072796934866
2023-12-20,8466.5,2192.0,1.0944,7736.202485380117,2002.923976608187
2023-12-21,8460.0,2180.0,1.0983,7702.813438951106,1984.885732495675
2023-12-22,8499.0,2234.5,1.1023,7710.242220811031,2027.1251020593304
2023-12-27,8511.5,2293.5,1.1065,7692.272932670583,2072.75192046995
2023-12-28,8530.0,2313.5,1.1114,7675.004498830304,2081.6087817167536
2023-12-29,8476.0,2335.5,1.105,7670.588235294118,2113.574660633484
2024-01-02,8430.0,2336.5,1.0956,7694.414019715226,2132.6213946695875
2024-01-03,8381.0,2255.5,1.0919,7675.611319717922,2065.6653539701438
2024-01-04,8375.0,2235.5,1.0953,7646.306947868165,2040.9933351593172
2024-01-05,8346.5,2215.5,1.0921,7642.615145133229,2028.660379086164
2024-01-08,8295.0,2205.5,1.0946,7578.110725379134,2014.891284487484
2024-01-09,8301.5,2200.0,1.094,7588.208409506398,2010.9689213893967
2024-01-10,8285.0,2204.0,1.0946,7568.974968024849,2013.5209208843412
2024-01-11,8332.0,2203.0,1.0987,7583.507781924092,2005.096932738691
2024-01-12,8289.0,2175.0,1.0942,7575.397550721988,1987.7536099433376
2024-01-15,8238.5,2153.0,1.0945,7527.181361352215,1967.1082686158063
2024-01-16,8280.0,2158.5,1.0882,7608.895423635361,1983.5508178643631
2024-01-17,8230.0,2142.0,1.0877,7566.424565597133,1969.2930035855477
2024-01-18,8189.0,2130.5,1.0875,7530.114942528736,1959.080459770115
2024-01-19,8275.0,2122.0,1.0887,7600.808303481216,1949.113621750712
2024-01-22,8254.5,2110.0,1.089,7579.889807162534,1937.5573921028467
2024-01-23,8283.5,2145.0,1.0872,7619.11331861663,1972.9580573951437
2024-01-24,8460.0,2207.5,1.0905,7757.909215955983,2024.3007794589637
2024-01-25,8486.0,2188.5,1.0893,7790.324061323787,2009.088405397962
2024-01-26,8447.0,2212.0,1.0871,7770.214331708215,2034.7714101738572
2024-01-29,8421.0,2214.0,1.0823,7780.652314515383,2045.6435369121316
2024-01-30,8462.0,2226.5,1.0846,7801.954637654435,2052.830536603356
